0.000000 11862.709961 -794.786255 1304443136.000000 
0.010000 11862.709961 -19352506073088.000000 17430927271039861000.000000 
0.020000 11862.709961 -386261994651739260000000.000000 213050413900630960000000000000.000000 
0.030000 11862.709961 -1.#INF00 -1.#IND00 
0.040000 11862.709961 -1.#IND00 -1.#IND00 
0.050000 11862.709961 -1.#IND00 -1.#IND00 
0.060000 11862.709961 -1.#IND00 -1.#IND00 
0.070000 11862.709961 -1.#IND00 -1.#IND00 
0.080000 11862.709961 -1.#IND00 -1.#IND00 
0.090000 11862.709961 -1.#IND00 -1.#IND00 
0.100000 11862.709961 -1.#IND00 -1.#IND00 
0.110000 11862.709961 -1.#IND00 -1.#IND00 
0.120000 11862.709961 -1.#IND00 -1.#IND00 
0.130000 11862.709961 -1.#IND00 -1.#IND00 
0.140000 11862.709961 -1.#IND00 -1.#IND00 
0.150000 11862.709961 -1.#IND00 -1.#IND00 
0.160000 11862.709961 -1.#IND00 -1.#IND00 
0.170000 11862.709961 -1.#IND00 -1.#IND00 
0.180000 11862.709961 -1.#IND00 -1.#IND00 
0.190000 11862.709961 -1.#IND00 -1.#IND00 
0.200000 11862.709961 -1.#IND00 -1.#IND00 
0.210000 11862.709961 -1.#IND00 -1.#IND00 
0.220000 11862.709961 -1.#IND00 -1.#IND00 
0.230000 11862.709961 -1.#IND00 -1.#IND00 
0.240000 11862.709961 -1.#IND00 -1.#IND00 
0.250000 11862.709961 -1.#IND00 -1.#IND00 
0.260000 11862.709961 -1.#IND00 -1.#IND00 
0.270000 11862.709961 -1.#IND00 -1.#IND00 
0.280000 11862.709961 -1.#IND00 -1.#IND00 
0.290000 11862.709961 -1.#IND00 -1.#IND00 
0.300000 11862.709961 -1.#IND00 -1.#IND00 
0.310000 11862.709961 -1.#IND00 -1.#IND00 
0.320000 11862.709961 -1.#IND00 -1.#IND00 
0.330000 11862.709961 -1.#IND00 -1.#IND00 
0.340000 11862.709961 -1.#IND00 -1.#IND00 
0.350000 11862.709961 -1.#IND00 -1.#IND00 
0.360000 11862.709961 -1.#IND00 -1.#IND00 
0.370000 11862.709961 -1.#IND00 -1.#IND00 
0.380000 11862.709961 -1.#IND00 -1.#IND00 
0.390000 11862.709961 -1.#IND00 -1.#IND00 
0.400000 11862.709961 -1.#IND00 -1.#IND00 
0.410000 11862.709961 -1.#IND00 -1.#IND00 
0.420000 11862.709961 -1.#IND00 -1.#IND00 
0.430000 11862.709961 -1.#IND00 -1.#IND00 
0.440000 11862.709961 -1.#IND00 -1.#IND00 
0.450000 11862.709961 -1.#IND00 -1.#IND00 
0.460000 11862.709961 -1.#IND00 -1.#IND00 
0.470000 11862.709961 -1.#IND00 -1.#IND00 
0.480000 11862.709961 -1.#IND00 -1.#IND00 
0.490000 11862.709961 -1.#IND00 -1.#IND00 
0.500000 11862.709961 -1.#IND00 -1.#IND00 
0.510000 11862.709961 -1.#IND00 -1.#IND00 
0.520000 11862.709961 -1.#IND00 -1.#IND00 
0.530000 11862.709961 -1.#IND00 -1.#IND00 
0.540000 11862.709961 -1.#IND00 -1.#IND00 
0.550000 11862.709961 -1.#IND00 -1.#IND00 
0.560000 11862.709961 -1.#IND00 -1.#IND00 
0.570000 11862.709961 -1.#IND00 -1.#IND00 
0.580000 11862.709961 -1.#IND00 -1.#IND00 
0.590000 11862.709961 -1.#IND00 -1.#IND00 
0.600000 11862.709961 -1.#IND00 -1.#IND00 
0.610000 11862.709961 -1.#IND00 -1.#IND00 
0.620000 11862.709961 -1.#IND00 -1.#IND00 
0.630000 11862.709961 -1.#IND00 -1.#IND00 
0.640000 11862.709961 -1.#IND00 -1.#IND00 
0.650000 11862.709961 -1.#IND00 -1.#IND00 
0.660000 11862.709961 -1.#IND00 -1.#IND00 
0.670000 11862.709961 -1.#IND00 -1.#IND00 
0.680000 11862.709961 -1.#IND00 -1.#IND00 
0.690000 11862.709961 -1.#IND00 -1.#IND00 
0.700000 11862.709961 -1.#IND00 -1.#IND00 
0.710000 11862.709961 -1.#IND00 -1.#IND00 
0.720000 11862.709961 -1.#IND00 -1.#IND00 
0.730000 11862.709961 -1.#IND00 -1.#IND00 
0.740000 11862.709961 -1.#IND00 -1.#IND00 
0.750000 11862.709961 -1.#IND00 -1.#IND00 
0.760000 11862.709961 -1.#IND00 -1.#IND00 
0.770000 11862.709961 -1.#IND00 -1.#IND00 
0.780000 11862.709961 -1.#IND00 -1.#IND00 
0.790000 11862.709961 -1.#IND00 -1.#IND00 
0.800000 11862.709961 -1.#IND00 -1.#IND00 
0.810000 11862.709961 -1.#IND00 -1.#IND00 
0.820000 11862.709961 -1.#IND00 -1.#IND00 
0.830000 11862.709961 -1.#IND00 -1.#IND00 
0.839999 11862.709961 -1.#IND00 -1.#IND00 
0.849999 11862.709961 -1.#IND00 -1.#IND00 
0.859999 11862.709961 -1.#IND00 -1.#IND00 
0.869999 11862.709961 -1.#IND00 -1.#IND00 
0.879999 11862.709961 -1.#IND00 -1.#IND00 
0.889999 11862.709961 -1.#IND00 -1.#IND00 
0.899999 11862.709961 -1.#IND00 -1.#IND00 
0.909999 11862.709961 -1.#IND00 -1.#IND00 
0.919999 11862.709961 -1.#IND00 -1.#IND00 
0.929999 11862.709961 -1.#IND00 -1.#IND00 
0.939999 11862.709961 -1.#IND00 -1.#IND00 
0.949999 11862.709961 -1.#IND00 -1.#IND00 
0.959999 11862.709961 -1.#IND00 -1.#IND00 
0.969999 11862.709961 -1.#IND00 -1.#IND00 
0.979999 11862.709961 -1.#IND00 -1.#IND00 
0.989999 11862.709961 -1.#IND00 -1.#IND00 
0.999999 11862.709961 -1.#IND00 -1.#IND00 
1.009999 11862.709961 -1.#IND00 -1.#IND00 
1.019999 11862.709961 -1.#IND00 -1.#IND00 
1.029999 11862.709961 -1.#IND00 -1.#IND00 
1.039999 11862.709961 -1.#IND00 -1.#IND00 
1.049999 11862.709961 -1.#IND00 -1.#IND00 
1.059999 11862.709961 -1.#IND00 -1.#IND00 
1.069999 11862.709961 -1.#IND00 -1.#IND00 
1.079999 11862.709961 -1.#IND00 -1.#IND00 
1.089999 11862.709961 -1.#IND00 -1.#IND00 
1.099999 11862.709961 -1.#IND00 -1.#IND00 
1.109999 11862.709961 -1.#IND00 -1.#IND00 
1.119999 11862.709961 -1.#IND00 -1.#IND00 
1.129999 11862.709961 -1.#IND00 -1.#IND00 
1.139999 11862.709961 -1.#IND00 -1.#IND00 
1.149999 11862.709961 -1.#IND00 -1.#IND00 
1.159999 11862.709961 -1.#IND00 -1.#IND00 
1.169999 11862.709961 -1.#IND00 -1.#IND00 
1.179999 11862.709961 -1.#IND00 -1.#IND00 
1.189999 11862.709961 -1.#IND00 -1.#IND00 
1.199999 11862.709961 -1.#IND00 -1.#IND00 
1.209999 11862.709961 -1.#IND00 -1.#IND00 
1.219999 11862.709961 -1.#IND00 -1.#IND00 
1.229999 11862.709961 -1.#IND00 -1.#IND00 
1.239999 11862.709961 -1.#IND00 -1.#IND00 
1.249999 11862.709961 -1.#IND00 -1.#IND00 
1.259999 11862.709961 -1.#IND00 -1.#IND00 
1.269999 11862.709961 -1.#IND00 -1.#IND00 
1.279999 11862.709961 -1.#IND00 -1.#IND00 
1.289999 11862.709961 -1.#IND00 -1.#IND00 
1.299999 11862.709961 -1.#IND00 -1.#IND00 
1.309999 11862.709961 -1.#IND00 -1.#IND00 
1.319999 11862.709961 -1.#IND00 -1.#IND00 
1.329999 11862.709961 -1.#IND00 -1.#IND00 
1.339999 11862.709961 -1.#IND00 -1.#IND00 
1.349999 11862.709961 -1.#IND00 -1.#IND00 
1.359999 11862.709961 -1.#IND00 -1.#IND00 
1.369999 11862.709961 -1.#IND00 -1.#IND00 
1.379999 11862.709961 -1.#IND00 -1.#IND00 
1.389999 11862.709961 -1.#IND00 -1.#IND00 
1.399999 11862.709961 -1.#IND00 -1.#IND00 
1.409999 11862.709961 -1.#IND00 -1.#IND00 
1.419999 11862.709961 -1.#IND00 -1.#IND00 
1.429999 11862.709961 -1.#IND00 -1.#IND00 
1.439999 11862.709961 -1.#IND00 -1.#IND00 
1.449999 11862.709961 -1.#IND00 -1.#IND00 
1.459999 11862.709961 -1.#IND00 -1.#IND00 
1.469999 11862.709961 -1.#IND00 -1.#IND00 
1.479999 11862.709961 -1.#IND00 -1.#IND00 
1.489999 11862.709961 -1.#IND00 -1.#IND00 
1.499999 11862.709961 -1.#IND00 -1.#IND00 
1.509999 11862.709961 -1.#IND00 -1.#IND00 
1.519999 11862.709961 -1.#IND00 -1.#IND00 
1.529999 11862.709961 -1.#IND00 -1.#IND00 
1.539999 11862.709961 -1.#IND00 -1.#IND00 
1.549999 11862.709961 -1.#IND00 -1.#IND00 
1.559999 11862.709961 -1.#IND00 -1.#IND00 
1.569999 11862.709961 -1.#IND00 -1.#IND00 
1.579999 11862.709961 -1.#IND00 -1.#IND00 
1.589999 11862.709961 -1.#IND00 -1.#IND00 
1.599999 11862.709961 -1.#IND00 -1.#IND00 
1.609999 11862.709961 -1.#IND00 -1.#IND00 
1.619999 11862.709961 -1.#IND00 -1.#IND00 
1.629999 11862.709961 -1.#IND00 -1.#IND00 
1.639999 11862.709961 -1.#IND00 -1.#IND00 
1.649999 11862.709961 -1.#IND00 -1.#IND00 
1.659999 11862.709961 -1.#IND00 -1.#IND00 
1.669999 11862.709961 -1.#IND00 -1.#IND00 
1.679999 11862.709961 -1.#IND00 -1.#IND00 
1.689999 11862.709961 -1.#IND00 -1.#IND00 
1.699999 11862.709961 -1.#IND00 -1.#IND00 
1.709999 11862.709961 -1.#IND00 -1.#IND00 
1.719999 11862.709961 -1.#IND00 -1.#IND00 
1.729999 11862.709961 -1.#IND00 -1.#IND00 
1.739999 11862.709961 -1.#IND00 -1.#IND00 
1.749999 11862.709961 -1.#IND00 -1.#IND00 
1.759999 11862.709961 -1.#IND00 -1.#IND00 
1.769999 11862.709961 -1.#IND00 -1.#IND00 
1.779999 11862.709961 -1.#IND00 -1.#IND00 
1.789999 11862.709961 -1.#IND00 -1.#IND00 
1.799999 11862.709961 -1.#IND00 -1.#IND00 
1.809999 11862.709961 -1.#IND00 -1.#IND00 
1.819999 11862.709961 -1.#IND00 -1.#IND00 
1.829999 11862.709961 -1.#IND00 -1.#IND00 
1.839999 11862.709961 -1.#IND00 -1.#IND00 
1.849999 11862.709961 -1.#IND00 -1.#IND00 
1.859999 11862.709961 -1.#IND00 -1.#IND00 
1.869999 11862.709961 -1.#IND00 -1.#IND00 
1.879999 11862.709961 -1.#IND00 -1.#IND00 
1.889999 11862.709961 -1.#IND00 -1.#IND00 
1.899999 11862.709961 -1.#IND00 -1.#IND00 
1.909999 11862.709961 -1.#IND00 -1.#IND00 
1.919999 11862.709961 -1.#IND00 -1.#IND00 
1.929999 11862.709961 -1.#IND00 -1.#IND00 
1.939999 11862.709961 -1.#IND00 -1.#IND00 
1.949998 11862.709961 -1.#IND00 -1.#IND00 
1.959998 11862.709961 -1.#IND00 -1.#IND00 
1.969998 11862.709961 -1.#IND00 -1.#IND00 
